		Lht1	Lfk1
14/03/2022	01:34:49	0	0
14/03/2022	01:35:02	0	0
14/03/2022	01:35:15	0	0
14/03/2022	01:35:28	0	0
14/03/2022	01:35:41	0	0
14/03/2022	01:35:54	0	0
14/03/2022	01:36:07	0	0
14/03/2022	01:36:20	0	0
14/03/2022	01:36:33	0	0
14/03/2022	01:36:46	0	0
14/03/2022	01:36:59	0	0
14/03/2022	01:37:12	0	0
14/03/2022	01:37:24	0	0
14/03/2022	01:37:37	0	0
14/03/2022	01:37:50	0	0
14/03/2022	01:38:03	0	0
14/03/2022	01:38:16	0	0
14/03/2022	01:38:29	0	0
14/03/2022	01:38:42	0	0
14/03/2022	01:38:55	0	0
14/03/2022	01:39:08	0	0
14/03/2022	01:39:21	0	0
14/03/2022	01:39:34	0	0
14/03/2022	01:39:47	0	0
14/03/2022	01:40:00	0	0
14/03/2022	01:40:13	0	0
14/03/2022	01:40:26	0	0
14/03/2022	01:40:39	0	0
14/03/2022	01:40:52	0	0
14/03/2022	01:41:05	0	0
14/03/2022	01:41:18	0	0
14/03/2022	01:41:31	0	0
14/03/2022	01:41:44	0	0
14/03/2022	01:41:57	0	0
14/03/2022	01:42:10	0	0
14/03/2022	01:42:23	0	0
14/03/2022	01:42:36	0	0
14/03/2022	01:42:48	0	0
14/03/2022	01:43:01	0	0
14/03/2022	01:43:14	0	0
14/03/2022	01:43:27	0	0
14/03/2022	01:43:40	0	0
14/03/2022	01:43:53	0	0
14/03/2022	01:44:06	0	0
14/03/2022	01:44:19	0	0
14/03/2022	01:44:32	0	0
14/03/2022	01:44:45	0	0
14/03/2022	01:44:58	0	0
14/03/2022	01:45:11	0	0
14/03/2022	01:45:24	0	0
14/03/2022	01:45:37	0	0
14/03/2022	01:45:50	0	0
14/03/2022	01:46:03	0	0
14/03/2022	01:46:16	0	0
14/03/2022	01:46:29	0	0
14/03/2022	01:46:42	0	0
14/03/2022	01:46:55	0	0
14/03/2022	01:47:08	0	0
14/03/2022	01:47:21	0	0
14/03/2022	01:47:34	0	0
14/03/2022	01:47:47	0	0
14/03/2022	01:48:00	0	0
14/03/2022	01:48:12	0	0
14/03/2022	01:48:25	0	0
14/03/2022	01:48:38	0	0
14/03/2022	01:48:51	0	0
14/03/2022	01:49:04	0	0
14/03/2022	01:49:17	0	0
14/03/2022	01:49:30	0	0
14/03/2022	01:49:43	0	0
14/03/2022	01:49:56	0	0
14/03/2022	01:50:09	0	0
14/03/2022	01:50:22	0	0
14/03/2022	01:50:35	0	0
14/03/2022	01:50:48	0	0
14/03/2022	01:51:01	0	0
14/03/2022	01:51:14	0	0
14/03/2022	01:51:27	0	0
14/03/2022	01:51:40	0	0
14/03/2022	01:51:53	0	0
14/03/2022	01:52:06	0	0
14/03/2022	01:52:19	0	0
14/03/2022	01:52:32	0	0
14/03/2022	01:52:45	0	0
14/03/2022	01:52:58	0	0
14/03/2022	01:53:11	0	0
14/03/2022	01:53:24	0	0
14/03/2022	01:53:36	0	0
14/03/2022	01:53:49	0	0
14/03/2022	01:54:02	0	0
14/03/2022	01:54:15	0	0
14/03/2022	01:54:28	0	0
14/03/2022	01:54:41	0	0
14/03/2022	01:54:54	0	0
14/03/2022	01:55:07	0	0
14/03/2022	01:55:20	0	0
14/03/2022	01:55:33	0	0
14/03/2022	01:55:46	0	0
14/03/2022	01:55:59	0	0
14/03/2022	01:56:12	0	0
14/03/2022	01:56:25	0	0
14/03/2022	01:56:38	0	0
14/03/2022	01:56:51	0	0
14/03/2022	01:57:04	0	0
14/03/2022	01:57:17	0	0
14/03/2022	01:57:30	0	0
14/03/2022	01:57:43	0	0
14/03/2022	01:57:56	0	0
14/03/2022	01:58:09	0	0
14/03/2022	01:58:22	0	0
14/03/2022	01:58:35	0	0
14/03/2022	01:58:48	0	0
14/03/2022	01:59:00	0	0
14/03/2022	01:59:13	0	0
14/03/2022	01:59:26	0	0
14/03/2022	01:59:39	0	0
14/03/2022	01:59:52	0	0
14/03/2022	02:00:05	0	0
14/03/2022	02:00:18	0	0
14/03/2022	02:00:31	0	0
14/03/2022	02:00:44	0	0
14/03/2022	02:00:57	0	0
14/03/2022	02:01:10	0	0
14/03/2022	02:01:23	0	0
14/03/2022	02:01:36	0	0
14/03/2022	02:01:49	0	0
14/03/2022	02:02:02	0	0
14/03/2022	02:02:15	0	0
14/03/2022	02:02:28	0	0
14/03/2022	02:02:41	0	0
14/03/2022	02:02:54	0	0
14/03/2022	02:03:07	0	0
14/03/2022	02:03:20	0	0
14/03/2022	02:03:33	0	0
14/03/2022	02:03:46	0	0
14/03/2022	02:03:59	0	0
14/03/2022	02:04:12	0	0
14/03/2022	02:04:24	0	0
14/03/2022	02:04:37	0	0
14/03/2022	02:04:50	0	0
14/03/2022	02:05:03	0	0
14/03/2022	02:05:16	0	0
14/03/2022	02:05:29	0	0
14/03/2022	02:05:42	0	0
14/03/2022	02:05:55	0	0
14/03/2022	02:06:08	0	0
14/03/2022	02:06:21	0	0
14/03/2022	02:06:34	0	0
14/03/2022	02:06:47	0	0
14/03/2022	02:07:00	0	0
14/03/2022	02:07:13	0	0
14/03/2022	02:07:26	0	0
14/03/2022	02:07:39	0	0
14/03/2022	02:07:52	0	0
14/03/2022	02:08:05	0	0
14/03/2022	02:08:18	0	0
14/03/2022	02:08:31	0	0
14/03/2022	02:08:44	0	0
14/03/2022	02:08:57	0	0
14/03/2022	02:09:10	0	0
14/03/2022	02:09:23	0	0
14/03/2022	02:09:36	0	0
14/03/2022	02:09:48	0	0
14/03/2022	02:10:01	0	0
14/03/2022	02:10:14	0	0
14/03/2022	02:10:27	0	0
14/03/2022	02:10:40	0	0
14/03/2022	02:10:53	0	0
14/03/2022	02:11:06	0	0
14/03/2022	02:11:19	0	0
14/03/2022	02:11:32	0	0
14/03/2022	02:11:45	0	0
14/03/2022	02:11:58	0	0
14/03/2022	02:12:11	0	0
14/03/2022	02:12:24	0	0
14/03/2022	02:12:37	0	0
14/03/2022	02:12:50	0	0
14/03/2022	02:13:03	0	0
14/03/2022	02:13:16	0	0
14/03/2022	02:13:29	0	0
14/03/2022	02:13:42	0	0
14/03/2022	02:13:55	0	0
14/03/2022	02:14:08	0	0
14/03/2022	02:14:21	0	0
14/03/2022	02:14:34	0	0
14/03/2022	02:14:47	0	0
14/03/2022	02:15:00	0	0
14/03/2022	02:15:12	0	0
14/03/2022	02:15:25	0	0
14/03/2022	02:15:38	0	0
14/03/2022	02:15:51	0	0
14/03/2022	02:16:04	0	0
14/03/2022	02:16:17	0	0
14/03/2022	02:16:30	0	0
14/03/2022	02:16:43	0	0
14/03/2022	02:16:56	0	0
14/03/2022	02:17:09	0	0
14/03/2022	02:17:22	0	0
14/03/2022	02:17:35	0	0
14/03/2022	02:17:48	0	0
14/03/2022	02:18:01	0	0
14/03/2022	02:18:14	0	0
14/03/2022	02:18:27	0	0
14/03/2022	02:18:40	0	0
14/03/2022	02:18:53	0	0
14/03/2022	02:19:06	0	0
14/03/2022	02:19:19	0	0
14/03/2022	02:19:32	0	0
14/03/2022	02:19:45	0	0
14/03/2022	02:19:58	0	0
14/03/2022	02:20:11	0	0
14/03/2022	02:20:24	0	0
14/03/2022	02:20:36	0	0
14/03/2022	02:20:49	0	0
14/03/2022	02:21:02	0	0
14/03/2022	02:21:15	0	0
14/03/2022	02:21:28	0	0
14/03/2022	02:21:41	0	0
14/03/2022	02:21:54	0	0
14/03/2022	02:22:07	0	0
14/03/2022	02:22:20	0	0
14/03/2022	02:22:33	0	0
14/03/2022	02:22:46	0	0
14/03/2022	02:22:59	0	0
14/03/2022	02:23:12	0	0
14/03/2022	02:23:25	0	0
14/03/2022	02:23:38	0	0
14/03/2022	02:23:51	0	0
14/03/2022	02:24:04	0	0
14/03/2022	02:24:17	0	0
14/03/2022	02:24:30	0	0
14/03/2022	02:24:43	0	0
14/03/2022	02:24:56	0	0
14/03/2022	02:25:09	0	0
14/03/2022	02:25:22	0	0
14/03/2022	02:25:35	0	0
14/03/2022	02:25:48	0	0
14/03/2022	02:26:00	0	0
14/03/2022	02:26:13	0	0
14/03/2022	02:26:26	0	0
14/03/2022	02:26:39	0	0
14/03/2022	02:26:52	0	0
14/03/2022	02:27:05	0	0
14/03/2022	02:27:18	0	0
14/03/2022	02:27:31	0	0
14/03/2022	02:27:44	0	0
14/03/2022	02:27:57	0	0
14/03/2022	02:28:10	0	0
14/03/2022	02:28:23	0	0
14/03/2022	02:28:36	0	0
14/03/2022	02:28:49	0	0
14/03/2022	02:29:02	0	0
14/03/2022	02:29:15	0	0
14/03/2022	02:29:28	0	0
14/03/2022	02:29:41	0	0
14/03/2022	02:29:54	0	0
14/03/2022	02:30:07	0	0
14/03/2022	02:30:20	0	0
14/03/2022	02:30:33	0	0
14/03/2022	02:30:46	0	0
14/03/2022	02:30:59	0	0
14/03/2022	02:31:12	0	0
